impact,discussion,waiting,repetition,perofdelay,workload,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,votes,watches,type_Bug,type_Epic,type_FunctionalTest,type_Improvement,type_NewFeature,type_ReleaseTest,type_Subtask,type_Task,priority_Blocker,priority_Critical,priority_Major,priority_Minor,priority_NULL,priority_Trivial,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
medium,1657,6,1,0,4,14,0,7,7,5,0,0,2,0,0,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Nondelay,0,0,0,50,2,12,1,1,1,0,0,0,5,0,0,26,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
medium,1590,10,6,0,0,31,1,5,5,4,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
medium,1752,22,4,0,1,24,0,4,4,1,0,1,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
high,0,0,0,33,3,23,0,4,4,0,0,0,1,0,0,19,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Nondelay,0,0,0,0,1,5,0,3,3,6,0,5,4,0,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
high,2760,5,2,0,0,11,1,1,1,2,0,0,4,0,4,9,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
medium,0,0,0,0,5,3,0,3,3,0,0,0,1,0.75,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,1521,18,6,0,0,33,0,1,1,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,0,0,0,0,0,30,0,3,3,3,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,0,0,0,50,4,10,1,11,11,2,2,0,3,0,0,25,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
high,0,0,0,40,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Nondelay,23,7,2,16,6,61,0,3,3,5,1,0,2,0,1,2,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
high,1558,22,2,0,2,17,0,9,9,1,0,0,8,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
low,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
medium,1869,9,0,14,7,7,0,2,2,1,0,0,11,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,0,0,0,33,3,2,0,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,0,0,0,25,4,8,0,4,4,2,2,0,1,0,0,6,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
medium,1837,11,5,20,5,42,1,3,3,4,0,0,3,0.5,0,3,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Nondelay,0,0,0,12,8,20,1,4,4,3,0,1,1,0,0,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
medium,1345,126,7,0,0,179,3,9,9,12,1,1,5,0,2,208,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
medium,1284,217,15,0,0,76,0,15,15,2,0,0,2,0,0,24,41,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,1528,7,2,11,9,84,0,4,4,8,0,0,8,0,0,39,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
medium,1317,7,0,12,8,7,0,10,10,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,1440,0,0,0,0,14,1,5,5,1,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
medium,1650,12,0,11,9,9,0,2,2,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
low,0,0,0,25,4,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
medium,1471,6,2,16,6,25,0,5,5,5,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
medium,1297,2,0,10,10,7,0,2,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,50,16,4,0,2,14,0,12,12,6,0,0,1,0,0,9,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
high,2019,18,12,33,3,29,0,4,4,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,1231,5,1,0,5,39,1,14,14,5,0,1,4,0,0,17,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,1566,15,4,0,0,87,1,14,14,5,0,1,4,0,1,138,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,1842,4,1,0,0,12,0,2,2,0,0,0,2,0,0,3,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
medium,1787,3,2,0,0,24,0,3,3,1,0,0,5,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
medium,1138,15,2,9,11,7,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
medium,431,16,3,0,1,44,1,2,2,5,0,0,7,0,0,39,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
medium,1353,9,1,0,0,12,2,4,4,0,0,0,4,0,0,7,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
medium,1086,6,0,8,12,11,1,10,10,4,0,1,2,0.8,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,1426,2,1,0,1,18,0,1,1,0,0,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
medium,1035,11,3,14,7,46,0,1,1,6,0,0,2,0,0,6,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
medium,921,10,2,25,4,15,1,2,2,2,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
low,0,0,0,0,0,4,1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
medium,1541,8,1,0,1,8,0,2,2,2,0,0,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
high,0,0,0,50,6,3,0,1,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
medium,1017,17,2,0,3,18,0,2,2,1,0,0,5,0,2,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,0,0,0,10,10,0,0,1,1,1,1,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
medium,1487,3,0,7,13,39,1,2,2,0,0,0,38,0,0,60,52,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
medium,834,9,1,0,0,13,1,2,2,2,0,0,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,967,21,1,50,2,20,1,4,4,0,0,0,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
medium,1046,23,5,0,2,66,1,6,6,11,1,1,3,0,0,18,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
medium,1035,7,0,9,11,9,0,3,3,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Nondelay,0,0,0,8,12,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Nondelay,0,0,0,7,13,4,0,1,1,1,1,0,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
medium,1469,8,1,7,14,18,0,2,2,1,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
medium,1262,6,1,0,3,21,1,5,5,1,0,0,3,0,0,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
medium,819,12,1,0,2,43,1,11,11,4,0,0,6,0,0,34,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
medium,868,8,2,0,0,36,0,2,2,11,0,0,2,0.833333333,1,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,1366,6,0,12,8,16,0,3,3,1,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Nondelay,0,0,0,11,9,6,0,1,1,1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Nondelay,0,0,0,6,15,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
medium,1199,132,0,100,1,12,0,2,2,1,1,0,8,0,0,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
high,0,0,0,33,3,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,1266,5,0,0,1,24,0,2,2,8,0,0,4,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
medium,1104,17,0,6,16,4,0,1,1,1,0,1,1,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
medium,1446,5,4,0,4,38,2,3,3,3,0,0,6,0,0,19,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
medium,1891,48,2,5,17,42,2,7,7,3,0,0,2,0,1,10,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
medium,1206,108,21,0,0,70,0,13,13,5,0,0,2,0,0,8,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
medium,873,13,3,0,6,28,0,3,3,4,1,0,3,0,0,9,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
medium,951,27,4,0,1,20,0,5,5,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Nondelay,0,0,0,7,14,4,0,1,1,1,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
high,938,6,4,0,2,25,2,5,5,3,0,2,3,0,0,24,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,1175,6,0,0,0,15,0,6,6,0,0,0,5,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
medium,655,3,0,5,18,19,2,1,1,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,1082,4,0,0,1,8,0,5,5,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
medium,995,15,6,0,1,41,4,6,6,4,0,0,1,0,2,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nondelay,3,6,3,0,0,24,1,1,1,2,0,0,2,0,1,8,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nondelay,0,20,4,10,10,19,0,2,2,1,0,0,5,0.5,0,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
medium,640,48,5,0,0,101,1,8,8,10,0,1,1,0,0,30,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,673,2,1,0,1,6,0,4,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
medium,791,5,1,0,7,31,1,5,5,4,0,1,4,0,0,33,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
medium,1221,13,3,0,8,27,0,2,2,1,0,0,4,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
medium,672,18,5,0,2,18,0,4,4,1,0,1,2,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
high,2769,11,2,0,0,12,0,1,1,1,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
medium,626,21,4,0,2,34,0,8,8,3,0,0,2,0.333333333,0,10,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
medium,609,2,1,0,5,16,3,4,4,2,0,1,4,0,0,9,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,745,8,3,0,3,26,0,6,6,1,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
medium,822,12,1,0,1,27,1,1,1,2,0,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
medium,1183,75,3,0,0,67,1,6,6,1,0,0,3,0,0,23,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
low,0,0,0,0,1,4,0,1,1,2,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
medium,1116,23,5,0,2,31,0,3,3,3,0,0,2,0,0,10,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
medium,725,6,1,9,11,13,0,2,2,1,0,0,2,0,0,7,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
medium,1070,23,12,0,0,37,1,9,9,1,0,0,5,0,4,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
medium,1092,4,0,5,19,59,0,1,1,6,0,1,2,0.5,0,19,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,866,41,1,0,0,22,0,2,2,1,0,0,2,0,0,6,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
medium,1039,3,2,57,7,20,0,1,1,0,0,0,5,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Nondelay,0,0,0,5,20,2,1,4,4,1,0,0,1,0.714285714,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
low,0,0,0,6,15,6,1,1,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
medium,1049,6,8,0,2,44,1,2,2,9,0,1,3,0,1,10,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Nondelay,0,8,2,0,1,6,0,2,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,1096,8,5,0,0,54,1,2,2,1,0,1,2,0,0,11,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
medium,356,14,2,0,3,10,0,6,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
medium,678,11,1,8,12,35,0,2,2,0,0,0,2,0,0,9,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
medium,1233,6,0,0,2,12,1,1,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,737,1,0,4,21,15,0,2,2,3,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
high,0,0,0,50,2,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
medium,533,5,2,0,4,15,0,4,4,0,0,0,3,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,659,9,3,0,0,16,0,1,1,2,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,1110,5,1,0,0,20,1,5,5,1,0,0,2,0.5,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
medium,468,0,3,7,13,13,0,5,5,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
medium,590,4,1,33,3,13,2,13,13,7,0,0,2,0,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
medium,1109,90,4,0,0,40,0,5,5,4,1,0,2,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
medium,540,42,6,0,1,115,1,2,2,9,0,0,4,0,0,45,33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
medium,625,27,1,12,16,17,0,2,2,2,0,1,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
medium,338,21,7,0,2,31,1,10,10,4,0,1,2,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
medium,803,5,3,4,22,39,1,6,6,1,0,0,3,0,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nondelay,0,0,0,7,14,5,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
medium,1054,8,0,0,1,12,0,2,2,2,0,0,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
medium,547,2,0,4,23,6,0,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
medium,930,7,3,4,24,25,1,3,3,1,0,0,1,0,0,13,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
medium,691,7,1,20,5,7,0,3,3,2,0,0,2,0.25,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
medium,662,2,0,0,3,75,1,4,4,8,0,2,2,0.75,2,24,38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
medium,456,3,1,0,3,6,1,2,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nondelay,0,0,0,0,2,1,0,4,4,1,0,0,1,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
medium,614,19,1,0,1,14,0,8,8,3,0,0,4,0.333333333,0,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
medium,0,0,0,50,8,4,0,2,2,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Nondelay,0,3,4,4,25,13,0,5,5,1,0,0,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,427,13,1,0,6,49,1,9,9,3,0,0,3,0,0,24,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,1105,8,0,0,0,14,0,3,3,0,0,0,4,0,1,11,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
medium,572,7,1,0,4,15,0,4,4,2,0,1,3,0,0,20,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
medium,619,5,1,0,2,115,2,6,6,13,0,1,4,0,0,47,27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
medium,949,55,11,0,3,88,0,2,2,5,0,3,2,0,1,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
medium,973,8,4,0,3,33,0,2,2,6,0,1,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
medium,712,5,3,0,1,20,0,4,4,4,0,1,2,0,0,18,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
medium,372,9,1,0,5,8,0,1,1,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,742,41,3,0,2,34,0,1,1,0,0,0,1,0.333333333,0,2,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
medium,223,7,4,0,2,52,2,2,2,4,0,0,3,0,0,50,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
high,824,4,0,0,3,8,1,2,2,2,0,0,4,0,0,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
