Name,antV0,antV1,antV2,camelV0,camelV1,ivyV0,jeditV0,jeditV1,jeditV2,log4jV0,luceneV0,poiV0,poiV1,synapseV0,velocityV0,xercesV0,xercesV1
Old_Naive_Where,23.0,0.0,0.0,0.0,35.0,30.0,51.0,35.0,4.0,54.0,72.0,78.0,12.0,0.0,51.0,20.0,25.0
Old_Naive_CART,32.0,38.0,44.0,9.0,31.0,28.0,56.0,36.0,5.0,47.0,56.0,79.0,21.0,40.0,49.0,21.0,18.0
Old_Naive_RF,41.0,37.0,47.0,4.0,37.0,27.0,56.0,43.0,9.0,57.0,70.0,83.0,19.0,41.0,51.0,24.0,18.0
New_Naive_Where,0.0,0.0,47.0,31.0,34.0,39.0,45.0,43.0,8.0,47.0,73.0,50.0,75.0,49.0,51.0,19.0,32.0
New_Naive_CART,22.0,37.0,45.0,39.0,38.0,28.0,56.0,44.0,10.0,53.0,65.0,31.0,68.0,43.0,53.0,19.0,34.0
New_Naive_RF,28.0,38.0,57.0,40.0,42.0,35.0,63.0,46.0,8.0,60.0,70.0,45.0,77.0,52.0,56.0,34.0,42.0
