Name,antV0,antV1,antV2,camelV0,camelV1,ivyV0,jeditV0,jeditV1,jeditV2,log4jV0,luceneV0,poiV0,poiV1,synapseV0,velocityV0,xercesV0,xercesV1
Old_Naive_Where,24.0,0.0,0.0,0.0,27.0,18.0,35.0,24.0,2.0,94.0,60.0,72.0,90.0,0.0,34.0,12.0,53.0
Old_Naive_CART,27.0,36.0,52.0,26.0,24.0,17.0,49.0,28.0,3.0,97.0,67.0,79.0,73.0,71.0,34.0,14.0,49.0
Old_Naive_RF,28.0,41.0,64.0,50.0,25.0,16.0,44.0,28.0,5.0,99.0,67.0,77.0,82.0,65.0,34.0,15.0,49.0
New_Naive_Where,0.0,0.0,45.0,20.0,27.0,25.0,34.0,30.0,4.0,96.0,61.0,70.0,74.0,61.0,34.0,14.0,86.0
New_Naive_CART,15.0,54.0,42.0,30.0,38.0,21.0,56.0,32.0,6.0,95.0,64.0,65.0,72.0,50.0,39.0,17.0,72.0
New_Naive_RF,21.0,67.0,56.0,28.0,34.0,23.0,52.0,32.0,4.0,95.0,63.0,67.0,78.0,60.0,40.0,28.0,78.0
