Name,antV0,antV1,antV2,camelV0,camelV1,ivyV0,jeditV0,jeditV1,jeditV2,log4jV0,luceneV0,poiV0,poiV1,synapseV0,velocityV0,xercesV0,xercesV1
RX4_Naive_Where,0.0,0.0,45.0,20.0,27.0,25.0,34.0,28.0,4.0,96.0,60.0,70.0,74.0,61.0,34.0,14.0,89.0
RX4_Tuned_Where,0.0,100.0,75.0,35.0,25.0,26.0,47.0,41.0,12.0,97.0,71.0,61.0,90.0,60.0,44.0,14.0,87.0
RX4_Naive_CART,15.0,54.0,42.0,30.0,38.0,21.0,56.0,32.0,6.0,95.0,64.0,65.0,72.0,50.0,39.0,17.0,72.0
RX4_Tuned_CART,15.0,57.0,51.0,30.0,42.0,36.0,83.0,33.0,25.0,95.0,69.0,80.0,90.0,52.0,41.0,100.0,100.0
RX4_Naive_RF,21.0,67.0,56.0,28.0,34.0,23.0,52.0,32.0,4.0,95.0,63.0,67.0,78.0,60.0,40.0,28.0,78.0
RX4_Tuned_RF,0.0,100.0,71.0,42.0,39.0,27.0,62.0,42.0,7.0,98.0,70.0,76.0,87.0,66.0,45.0,52.0,88.0
